index,model,Adherence to Instructions_score,Believable Character Actions_score,Nuanced Characters_score,Consistent Voice / Tone of Writing_score,Imagery and Descriptive Quality_score,Elegant Prose_score,Emotionally Engaging_score,Emotionally Complex_score,Coherent_score,Well-earned Lightness or Darkness_score,Sentences Flow Naturally_score,Overall Reader Engagement_score,Overall Impression_score,Meandering_score,Weak Dialogue_score,Tell-Don't-Show_score,Unsurprising or Uncreative_score,Amateurish_score,Purple Prose_score,Overwrought_score,Incongruent Ending Positivity_score,Unearned Transformations_score
21,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,15.5,18.0,14.0,16.0,17.5,15.0,12.0,13.0,14.5,13.0,6.0,10.0,8.0,10.0,12.0,14.0,11.0,15.0,13.0
22,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,15.0,17.0,18.5,16.0,17.5,14.0,15.5,13.0,16.0,15.0,14.5,3.0,8.0,10.0,12.0,14.0,11.0,13.0,16.0,15.0
23,deepseek-ai/DeepSeek-R1-0528,18.0,19.0,17.5,16.5,18.5,17.0,18.0,17.0,19.0,15.0,18.0,18.5,18.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,15.5,19.0,14.0,18.5,19.0,17.0,16.0,15.0,16.0,15.5,3.0,10.0,8.0,12.0,14.0,11.0,13.0,10.0,11.0
25,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,14.0,17.0,18.5,16.0,15.0,18.0,19.0,17.0,18.0,16.0,17.5,2.0,10.0,8.0,12.0,14.0,10.0,16.0,18.0,15.0
26,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,17.0,18.0,17.0,18.0,16.0,17.5,18.0,17.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
27,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,17.0,16.5,15.5,19.0,14.0,18.0,17.0,16.0,2.0,10.0,8.0,12.0,14.0,10.0,16.0,18.0,15.0
28,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,17.0,15.0,14.0,16.0,17.0,16.5,3.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0,16.0
29,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,19.0,14.0,18.0,17.0,16.0,3.0,10.0,8.0,12.0,15.0,10.0,11.0,13.0,14.0
30,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,18.0,14.0,17.0,16.0,15.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
31,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.5,14.0,17.0,18.0,17.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
32,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,18.5,17.0,18.0,16.5,15.5,18.0,14.0,17.0,16.0,15.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
33,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.0,18.5,17.0,18.0,19.0,17.0,15.0,16.5,18.0,18.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
34,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,19.5,18.0,19.0,16.0,18.0,19.0,19.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
35,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,16.0,17.0,15.5,14.0,13.0,12.0,10.0,9.0,3.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0,16.0
36,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,16.0,17.0,15.5,14.0,13.0,12.0,11.0,10.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
37,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,15.0,14.0,16.0,13.0,15.5,14.5,15.0,3.0,10.0,8.0,12.0,14.0,11.0,10.0,18.0,16.0
38,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,19.0,14.0,18.0,17.0,16.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.5,17.0,16.5,15.0,18.0,14.0,16.0,17.0,16.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
40,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,19.0,14.0,17.0,18.0,16.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
41,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,17.0,16.5,15.0,15.5,16.0,16.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
42,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,17.0,18.0,19.0,18.0,16.0,17.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
43,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,19.0,18.0,18.0,17.0,18.0,19.0,18.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
44,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,15.5,19.0,16.0,18.0,17.0,17.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,deepseek-ai/DeepSeek-R1-0528,19.0,18.5,17.0,16.0,18.0,15.5,18.0,16.5,19.0,17.0,18.5,18.0,18.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,17.0,18.0,19.0,16.0,14.0,15.5,17.0,16.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,12.0
47,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.5,17.0,16.5,15.0,19.0,14.0,18.0,17.0,16.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
48,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,17.0,16.5,15.5,14.0,13.0,12.0,11.0,10.0,8.0,10.0,9.0,7.0,6.0,5.0,4.0,3.0,2.0
49,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,15.0,14.0,18.0,16.0,17.0,15.5,16.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
50,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,18.0,14.0,17.0,15.5,14.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
51,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,15.5,19.0,14.0,18.0,17.0,16.5,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,14.0,13.5,16.5,15.0,17.0,14.0,15.5,16.0,15.0,3.0,5.0,6.0,4.0,7.0,8.0,9.0,10.0,11.0
53,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,14.0,17.0,15.5,13.0,16.0,12.0,15.0,10.0,14.0,13.0,11.0,6.0,18.0,16.0,14.0,15.0,12.0,13.0,10.0,11.0
54,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,15.0,18.5,14.0,19.0,18.0,16.0,12.0,15.5,17.0,15.5,3.0,10.0,8.0,12.0,14.0,16.0,13.0,10.0,11.0
55,deepseek-ai/DeepSeek-R1-0528,18.0,19.0,17.5,16.5,18.5,17.0,18.0,17.0,19.0,16.0,18.0,18.5,18.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
56,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,19.0,17.0,16.0,15.5,18.0,17.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
57,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,15.0,17.0,19.0,18.5,14.0,13.0,18.0,16.0,17.5,15.0,16.0,3.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0,14.0
58,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,17.0,19.0,16.0,18.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
59,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.0,18.5,17.0,18.0,19.5,18.0,15.0,16.5,17.0,18.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
60,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,14.0,17.5,15.0,13.0,18.0,16.0,12.0,10.0,14.0,15.0,13.5,8.0,10.0,12.0,14.0,16.0,15.0,13.0,18.0,17.0
61,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,15.0,17.0,18.5,16.0,14.0,13.0,19.0,12.0,15.5,13.5,14.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
62,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,18.0,14.0,17.0,16.0,15.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
63,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,17.0,19.0,16.0,18.0,18.5,18.0,2.0,3.0,2.5,4.0,5.0,6.0,7.0,8.0,9.0
64,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,19.0,14.0,18.0,17.0,16.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.0,18.5,17.0,18.0,19.0,17.0,15.0,16.5,18.0,18.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
66,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,17.0,18.0,16.5,19.0,17.0,18.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
67,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,15.5,18.0,16.0,17.5,18.0,17.0,14.0,16.0,16.5,15.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
68,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.0,14.0,17.0,16.0,15.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
69,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,15.5,16.0,14.0,15.0,17.0,16.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
70,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.5,18.5,17.0,18.0,19.0,18.0,17.0,17.5,18.5,18.0,2.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0
71,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,19.0,18.0,17.0,16.5,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
72,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.0,14.0,17.0,16.0,15.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
73,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,17.0,16.5,15.0,14.0,12.0,13.0,14.5,13.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
74,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.5,17.0,18.0,17.0,19.0,16.0,18.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
75,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,19.0,14.0,18.5,17.0,16.0,15.0,13.0,14.0,13.5,6.0,8.0,7.0,9.0,10.0,11.0,12.0,14.0,13.0
76,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,15.5,14.0,13.0,12.0,18.5,17.0,16.0,15.0,14.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
77,deepseek-ai/DeepSeek-R1-0528,19.0,18.5,17.0,16.0,18.0,17.5,18.0,16.5,19.0,15.0,18.5,19.0,18.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,14.0,13.0,18.5,19.0,17.0,16.0,15.0,18.0,17.0,3.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0,16.0
79,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.5,17.0,18.0,16.5,17.0,15.0,16.0,17.5,16.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
80,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,19.0,18.5,17.0,18.0,16.5,14.0,15.0,15.0,16.0,3.0,10.0,8.0,12.0,14.0,11.0,13.0,10.0,11.0
81,deepseek-ai/DeepSeek-R1-0528,18.0,19.0,17.5,16.0,18.5,17.0,18.0,19.0,18.0,15.0,17.5,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
82,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,18.5,19.0,17.0,18.0,16.5,18.0,15.0,17.0,17.5,17.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
83,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,16.0,19.0,17.0,18.0,14.0,15.5,17.0,16.5,3.0,10.0,8.0,12.0,14.0,10.0,11.0,13.0,12.0
84,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,15.0,14.0,13.0,12.0,11.0,18.0,16.0,15.0,14.0,13.5,3.0,10.0,8.0,12.0,14.0,15.0,13.0,10.0,11.0
85,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,14.0,17.0,15.5,13.0,12.0,10.0,15.0,14.0,11.0,10.0,11.0,8.0,12.0,14.0,10.0,16.0,12.0,13.0,15.0,14.0
86,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,15.0,17.0,14.0,13.5,18.0,16.0,15.0,12.0,14.0,13.0,13.5,6.0,10.0,8.0,12.0,14.0,10.0,11.0,15.0,16.0
87,deepseek-ai/DeepSeek-R1-0528,18.0,19.0,17.5,16.5,18.5,17.0,18.0,18.5,19.0,16.0,18.0,18.5,18.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
88,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,15.0,14.0,19.0,12.0,16.0,13.0,14.0,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
89,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,17.0,15.0,19.0,14.0,13.0,18.5,17.5,12.0,10.0,11.0,10.0,15.0,18.0,16.0,14.0,17.0,13.0,15.0,16.0,14.0
90,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,19.0,16.0,18.5,17.0,18.0,19.5,18.0,15.0,16.5,18.0,18.5,2.0,3.0,2.5,4.0,5.0,6.0,7.0,8.0,9.0
91,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.0,18.5,17.0,18.0,19.0,19.5,16.0,17.0,18.0,18.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
92,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,19.0,18.5,17.0,18.0,19.0,15.0,14.0,16.0,17.0,16.5,3.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0,16.0
93,deepseek-ai/DeepSeek-R1-0528,18.0,16.5,14.0,17.5,19.0,18.5,15.0,13.0,19.0,16.0,17.0,18.0,17.0,2.0,10.0,8.0,12.0,14.0,16.0,15.0,18.0,16.0
94,deepseek-ai/DeepSeek-R1-0528,18.0,19.0,17.5,16.5,19.0,18.5,18.0,17.0,19.0,16.0,18.0,19.0,18.5,2.0,3.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0
95,deepseek-ai/DeepSeek-R1-0528,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.5,14.0,17.0,16.0,15.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
96,zai-org/GLM-4.5,18.0,17.5,16.0,15.5,18.0,17.0,18.0,17.0,18.5,16.0,17.0,18.0,17.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
97,zai-org/GLM-4.5,18.0,17.5,19.0,16.5,18.5,17.0,18.0,19.0,18.0,17.0,16.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
98,zai-org/GLM-4.5,18.0,17.5,16.0,15.5,18.5,17.0,18.0,16.5,19.0,17.0,18.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
99,zai-org/GLM-4.5,18.0,17.5,16.0,15.0,18.5,17.0,16.5,15.5,14.0,13.0,12.0,11.0,10.0,8.0,9.0,10.0,7.0,6.0,5.0,4.0,12.0,11.0
100,zai-org/GLM-4.5,18.0,17.5,16.0,15.0,18.5,14.0,17.0,16.5,15.5,13.0,14.0,16.0,15.0,3.0,5.0,6.0,4.0,2.0,1.0,1.0,10.0,12.0
101,zai-org/GLM-4.5,18.0,16.5,14.0,17.0,18.5,16.0,15.0,13.0,15.5,12.0,14.0,13.5,14.0,3.0,10.0,8.0,12.0,15.0,10.0,11.0,16.0,14.0
102,zai-org/GLM-4.5,18.0,17.5,19.0,16.0,18.5,17.0,19.0,18.0,19.0,17.0,18.0,19.0,19.5,2.0,3.0,2.5,4.0,5.0,6.0,7.0,8.0,9.0
103,zai-org/GLM-4.5,18.0,17.5,16.0,18.5,19.0,18.0,17.0,16.5,18.0,15.0,17.5,16.0,17.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
104,zai-org/GLM-4.5,18.0,17.5,16.0,15.0,14.0,13.0,18.0,17.0,19.0,16.0,15.0,18.5,17.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
105,zai-org/GLM-4.5,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,18.0,14.0,17.0,15.5,14.5,3.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0
106,zai-org/GLM-4.5,18.0,17.5,16.0,15.0,18.5,17.0,18.0,19.0,18.0,16.0,17.0,18.5,18.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
107,zai-org/GLM-4.5,18.0,16.5,15.0,17.0,18.5,16.0,17.0,15.5,18.0,14.0,16.0,16.0,15.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
108,zai-org/GLM-4.5,18.0,17.5,16.0,19.0,18.5,17.0,15.0,14.0,19.0,16.0,18.0,17.0,16.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,zai-org/GLM-4.5,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,19.0,14.0,18.5,18.0,17.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,zai-org/GLM-4.5,18.0,17.5,16.0,15.0,14.5,13.0,18.0,17.0,16.0,15.0,14.0,17.0,16.5,3.0,5.0,6.0,4.0,2.0,1.0,1.0,10.0,12.0
111,zai-org/GLM-4.5,18.0,17.5,16.0,15.5,18.0,17.0,18.0,17.0,18.5,16.0,17.0,18.0,17.5,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
112,zai-org/GLM-4.5,18.0,17.5,16.0,19.0,18.5,17.0,19.0,18.0,15.0,14.0,16.0,13.0,12.0,8.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0
113,zai-org/GLM-4.5,18.0,17.5,16.0,19.0,18.5,17.0,16.5,15.0,18.0,14.0,17.0,16.0,15.5,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0
114,zai-org/GLM-4.5,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.0,14.0,17.0,16.0,15.5,3.0,10.0,8.0,12.0,14.0,10.0,11.0,13.0,12.0
115,zai-org/GLM-4.5,18.0,17.5,16.0,15.0,14.5,13.0,18.5,17.0,19.0,16.0,15.5,18.0,17.0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,zai-org/GLM-4.5,18.0,17.5,16.0,15.0,14.5,13.0,16.0,15.5,17.0,14.0,16.5,15.0,14.0,3.0,5.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0
117,zai-org/GLM-4.5,18.0,16.5,14.0,17.0,19.0,15.5,18.5,16.0,17.5,13.0,16.0,15.0,14.5,3.0,10.0,8.0,12.0,14.0,11.0,13.0,15.0,16.0
118,zai-org/GLM-4.5,18.0,16.5,14.0,17.0,15.5,13.0,16.0,12.0,15.0,10.0,14.0,13.0,11.0,8.0,10.0,9.0,7.0,6.0,5.0,4.0,18.0,16.0
119,zai-org/GLM-4.5,18.0,17.5,16.0,15.5,18.0,16.5,17.0,15.0,18.0,14.0,17.0,16.0,15.5,3.0,18.0,12.0,10.0,14.0,16.0,13.0,18.0,17.0
120,zai-org/GLM-4.5,18.0,16.5,14.0,17.0,15.5,16.0,15.0,13.5,17.5,14.0,16.0,15.0,14.5,3.0,8.0,6.0,7.0,5.0,4.0,3.0,10.0,9.0
121,zai-org/GLM-4.5,18.0,17.5,16.0,19.0,18.5,17.0,15.0,14.0,19.0,16.0,18.0,17.0,16.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,zai-org/GLM-4.5,18.0,17.5,16.0,15.5,18.5,17.0,16.5,15.0,19.0,14.0,18.0,17.0,16.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
